series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,signature_bake.x,technical,result,show_stopper.x,signature_bake.y,show_stopper.y
1,2,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Millionaires' Shortbread,2,IN,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
1,2,Jonathan,Shepherd,25,Research Analyst,St Albans,Honey and Candied Ginger Cookies,1,IN,Meringues with Whiskey Cream,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
1,2,Louise,Brimelow,44,Police Officer,Manchester,Stained Glass Window Shortbread,4,OUT,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
1,2,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Fresh Vanilla Biscuits with Royal Icing,3,IN,Pistachio Macarons,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons
1,2,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Peanut Shortbread withSalted Peanut Caramel,5,IN,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
1,3,David,Chambers,31,Entrepreneur,Milton Keynes,Chilli Bread,4,IN,"Walnut and Seed Roll
Red Berry and Almond Bun",Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
1,3,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Olive Bread,1,IN,Tomato and Mozzarella,Olive Bread,Tomato and Mozzarella
1,3,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Focaccia,5,IN,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
1,3,Jonathan,Shepherd,25,Research Analyst,St Albans,"Anchovy, Sweet Paprika and Oregano Bread",6,OUT,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun","Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
1,3,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Walnut and Apricot Bread,3,IN,"Lemon Iced Buns
Chocolate and Orange Buns",Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns"
1,3,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Maple and Pecan Bread,2,IN,"Chocolate and Orange Panettone
Cranberry Bagels",Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
1,4,David,Chambers,31,Entrepreneur,Milton Keynes,Pear and Walnut Pudding,5,OUT,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
1,4,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Apple and Plum Pudding,3,IN,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
1,4,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2,IN,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
1,4,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Sticky Toffee Pudding,1,IN,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
1,4,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Peach and Blueberry Boy Bait,4,IN,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
1,5,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,"Chicken, Ham, Leek and Tarragon Pie",2,IN,"Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés","Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
1,5,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Chicken and Mushroom Pie,4,OUT,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
1,5,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex","Summery Salmon, Cod and Prawn Fish Pie",1,IN,"Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés","Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
1,5,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Minced Beef Pie,3,IN,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
1,6,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Cinnamon and Banana Cake,NA,WINNER,NA,Cinnamon and Banana Cake,NA
1,6,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Lemon Cupcake,NA,Runner-up,Eliminated after signature,Lemon Cupcake,Eliminated after signature
1,6,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire","Mint, Ginger and Blackberry Cake",NA,Runner-up,NA,"Mint, Ginger and Blackberry Cake",NA
2,1,Ben,Frazer,31,Graphic Designer,Northampton,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2,IN,Vanilla Sponge with White Chocolate and Raspberry Buttercream,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
2,1,Holly,Bell,31,Advertising executive,Leicester,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1,STAR BAKER,UNKNOWN,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN
2,1,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Apple and Cinnamon Cupcakes,10,IN,UNKNOWN,Apple and Cinnamon Cupcakes,UNKNOWN
2,1,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Raspberry and Cream Cupcakes,8,IN,Chocolate Marble Cakewith Dark and White Chocolate Truffles,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
2,1,Jason,White,19,Civil Engineering Student,Croydon,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6,IN,UNKNOWN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN
2,1,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,11,IN,NA,NA,NA
2,1,Keith,Batsford,31,House husband,"Arlesey, Bedfordshire",Earl Grey Cupcakes,12,OUT,Chocolate and Sour Cream Cake,Earl Grey Cupcakes,Chocolate and Sour Cream Cake
2,1,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",Banoffee Cupcakes,4,IN,Chocolate and Raspberry Opera cake,Banoffee Cupcakes,Chocolate and Raspberry Opera cake
2,1,Robert,Billington,25,Photographer,London,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,3,IN,Genoise Layered Mousse Cakewith Chocolate Ganache,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
2,1,Simon,Blackwell,31,Rugby Coach,Norfolk,Guinness and Chocolate Cupcakes,9,IN,Two-Tiered Chocolate Courgette Cake,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
2,1,Urvashi,Roe,40,Head of Marketing,"Enfield, London",Cherry Blossom CupcakesJapanese Lime Cupcakes,7,IN,UNKNOWN,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN
2,1,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",Cardamom and Pomegranate Cupcakes,5,IN,UNKNOWN,Cardamom and Pomegranate Cupcakes,UNKNOWN
2,2,Ben,Frazer,31,Graphic Designer,Northampton,"Chorizo, Pepper and Gruyere Quiche",1,IN,Lemon Meringue Tarts,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
2,2,Holly,Bell,31,Advertising executive,Leicester,Pesto Quiche,4,IN,Milk Chocolate and Pistachio TartsTrifle Tarts,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
2,2,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2,IN,UNKNOWN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN
2,2,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Quiche Printanière,8,IN,Red Fruit TartsChocolate and Cherry Tarts,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
2,2,Jason,White,19,Civil Engineering Student,Croydon,Salmon and Pak Choi Quiche,3,STAR BAKER,Mint Chocolate Tarts Blueberry Bakewell Tarts,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
2,2,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,10,IN,NA,NA,NA
2,2,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire","Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9,IN,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
2,2,Robert,Billington,25,Photographer,London,Smoked Bacon and Kale Quiche,5,IN,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
2,2,Simon,Blackwell,31,Rugby Coach,Norfolk,Smoked Haddock and Watercress Quiche,11,OUT,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
2,2,Urvashi,Roe,40,Head of Marketing,"Enfield, London","Crab, Coriander and Coconut Quiche",7,IN,Strawberry and Basil TartsElderflower and Honeycomb Tarts,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
2,2,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",Smoked Haddock and Watercress Quiche,6,IN,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
2,3,Ben,Frazer,31,Graphic Designer,Northampton,"Walnut, Raisin and Rosemary Loaf",3,IN,UNKNOWN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
2,3,Holly,Bell,31,Advertising executive,Leicester,Picnic Loaf,6,IN,Stilton and Walnut Rolls,Picnic Loaf,Stilton and Walnut Rolls
2,3,Ian,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Courgette, Caerphilly Cheese and Thyme Loaf",10,OUT,Walnut and Raisin RollsCracked Wheat Logs,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
2,3,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Zupfe Loaf with Gruyère Cheese,8,IN,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
2,3,Jason,White,19,Civil Engineering Student,Croydon,Cheese and Onion Tear and Share Loaf,7,IN,UNKNOWN,Cheese and Onion Tear and Share Loaf,UNKNOWN
2,3,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,1,IN,NA,NA,NA
2,3,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",Ploughman's Loaf,5,IN,Herb and Walnut BreadsChocolate and Chilli Buns,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
2,3,Robert,Billington,25,Photographer,London,Rye and Coriander Seed Loaf,4,IN,Blueberry Brioche RollsLemon and Poppy Seed Rolls,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
2,3,Urvashi,Roe,40,Head of Marketing,"Enfield, London",Salt and Peppercorn Loaf,9,OUT,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
2,3,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",Egyptian Dukkah Loaf with Mixed Spices,2,STAR BAKER,"Pesto Bread
Sweet Coconut Rolls",Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
2,4,Ben,Frazer,31,Graphic Designer,Northampton,Stem Ginger Nuts,5,OUT,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
2,4,Holly,Bell,31,Advertising executive,Leicester,Strawberry and Custard Melts,3,STAR BAKER,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
2,4,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Christmas Marzipan Biscuits,4,IN,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
2,4,Jason,White,19,Civil Engineering Student,Croydon,Lebkuchen,1,STAR BAKER,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
2,4,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,8,IN,NA,NA,NA
2,4,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",Melting Moments,2,IN,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
2,4,Robert,Billington,25,Photographer,London,Chocolate and Ginger Oat Biscuits,7,IN,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
2,4,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",Chocolate Chip and Pistachio Biscotti,6,IN,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
2,5,Holly,Bell,31,Advertising executive,Leicester,"Stilton, Potato and Caramelised Onion Pie",4,IN,Lime Meringue Pie,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
2,5,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Chicken and Chestnut Pie,1,STAR BAKER,Rhubarb Meringue Pie,Chicken and Chestnut Pie,Rhubarb Meringue Pie
2,5,Jason,White,19,Civil Engineering Student,Croydon,Brown Down Chicken Pie,7,OUT,Plum Meringue Pie,Brown Down Chicken Pie,Plum Meringue Pie
2,5,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,6,IN,NA,NA,NA
2,5,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",Chicken and Bacon Pie,2,IN,Midnight Meringue,Chicken and Bacon Pie,Midnight Meringue
2,5,Robert,Billington,25,Photographer,London,Chicken and Mushroom Pie,3,OUT,Rhubarb and Custard Meringue Pie,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
2,5,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",Family Fish Pie,5,IN,Peach and Raspberry Meringue Pie,Family Fish Pie,Peach and Raspberry Meringue Pie
2,6,Holly,Bell,31,Advertising executive,Leicester,Father Christmas' Baked Cheesecake,3,IN,Hansel and Gretel's Croquembouche,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
2,6,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Rhubarb and Ginger Baked Cheesecake,5,IN,Orange and Nougatine Croquembouche,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
2,6,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,1,STAR BAKER,NA,NA,NA
2,6,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",Tutti Fruitti Curd Baked Cheesecake,4,IN,Orange and Praline Croquembouche with Cardamom Caramel,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
2,6,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",Baked Amaretto Cheesecake,2,OUT,Rose Croquembouche,Baked Amaretto Cheesecake,Rose Croquembouche
2,7,Holly,Bell,31,Advertising executive,Leicester,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake",1,IN,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits","White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
2,7,Janet,Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Chocolate Amaretto Mousse Cake,4,OUT,Pain Aux RaisinPlain CroissantPain Au Chocolat,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
2,7,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,3,IN,NA,NA,NA
2,7,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",Chocolate and Orange Mousse Cake,2,IN,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
2,8,Holly,Bell,31,Advertising executive,Leicester,Banoffee Inspired Mille Feuille,2,Runner-up,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
2,8,Joanne,Wheatley,41,Housewife,"Ongar, Essex",NA,1,WINNER,NA,NA,NA
2,8,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",Lemon and Ginger Mille Feuille,3,Runner-up,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
3,1,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,"Plum, Sour Cherry & Walnut",10,IN,UNKNOWN,"Plum, Sour Cherry & Walnut",UNKNOWN
3,1,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Apple, Hazelnut and Calvados",5,IN,Hidden Cupcake Cake,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
3,1,Danny,Bryden,45,Intensive care consultant,Sheffield,"Plum, Ginger & Orange",7,IN,UNKNOWN,"Plum, Ginger & Orange",UNKNOWN
3,1,James,Morton,21,Medical student,"Hillswick, Shetland Islands","Parsnip, Pear, and Pecan",2,IN,"""Simmer Dim"" Sunset Cake","Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
3,1,John,Whaite,22,Law student,Wigan,"Toffee Apple, Orange & Cranberry",11,IN,Hidden Pink Hearts Cake,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake
3,1,Manisha,Parmar,27,Nursery nurse,Leicester,"Vanilla, Peach and Raspberry",6,IN,White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
3,1,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",Pineapple & Passion Fruit,12,OUT,Mother's Day Layered Rose Cake,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake
3,1,Peter,Maloney,43,Sales manager,"Windsor, Berkshire","Pear, Muscat & Chocolate",3,IN,Jubilee Cake,"Pear, Muscat & Chocolate",Jubilee Cake
3,1,Ryan,Chong,38,Photographer,Bristol,Kumquat and Orange Polenta,8,IN,Hidden Flowerbed Mousse Cake,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake
3,1,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex","Pear, Chocolate and Hazelnut",1,IN,Hidden Crown Cake,"Pear, Chocolate and Hazelnut",Hidden Crown Cake
3,1,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",Tomato and Ginger,9,IN,Lemon and Pistachio Union Flag Cake,Tomato and Ginger,Lemon and Pistachio Union Flag Cake
3,1,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,Pear and Pecan,4,STAR BAKER,Blackbird Pie Cake,Pear and Pecan,Blackbird Pie Cake
3,2,Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,Middle Eastern Taboon BreadIndian Rotis,4,IN,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
3,2,Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Spiced Mango NaanLime, Coriander and Chilli Tortillas",8,IN,"Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels","Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
